epsilon_progress,nfe
0,0
6,100
15,1195
63,2291
170,3385
272,4481
332,5571
355,6665
367,7757
380,8851
392,9948
415,10997
417,12010
418,13022
419,14029
421,15042
422,16056
424,17065
424,18098
424,19138
424,20173
425,21203
425,22232
425,23256
425,24297
425,25025
0,0
4,100
4,1195
7,2291
30,3389
69,4487
93,5585
107,6681
120,7774
139,8873
144,9967
170,10970
181,12036
185,13046
185,14050
185,15055
185,16055
186,17063
186,18066
186,19092
186,20113
187,21129
189,22129
189,23129
189,24130
189,25016
